Station_name,Station Latitude,Station Longitude,Bikes,Category,Name,POI Latitude,POI Longitude,Rating,Reviews,_merge
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Cactus Club Cafe Broadway + Ash,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Sushi California,49.263,-123.113,3.5,317.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Chipotle Mexican Grill,49.263,-123.116,3.0,38.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Uncle Fatih'S Pizza,49.264,-123.114,3.0,49.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",A&W Restaurant,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Wendy'S,49.264,-123.115,2.5,50.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Subway,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Benkei Ramen Noodle Shop,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Jolibee,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Jollibee Broadway & Cambie,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Donair Pro,49.263,-123.113,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Ramen Raijin,49.263,-123.113,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Heritage Asian Eatery,49.263,-123.112,4.0,87.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Hutong,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Benkii,49.264,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Regal Mansion Cusine,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Sizzling Wok,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Pizza Rubato Napoletana,49.264,-123.117,4.5,7.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Pokerrito,49.264,-123.112,5.0,2.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Five Star Fried Chicken,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Fatburger,49.263,-123.111,3.0,81.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Iden & Quan Ju De Beijing Duck House,49.26,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Tractor,49.264,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Mcdonald'S,49.263,-123.116,3.5,21.0,both
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Mexicano Taco Ltd,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",La Taqueria,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Fresh Slice Pizza,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Older Giner Restaurant,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Afghan Horsemen Restaurant,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Sha Lin Noodle House,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Cafe 86,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Thai Away Home Restaurants Ltd,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",I Cafe,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Liu T,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Cactus Club Cafe,49.264,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Jugo Juice,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes","Agences Whitehall Inc, Les",49.263,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Steve Nash Fitness World,49.261,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Winona Park,49.263,-123.113,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",City Hall Community Garden,49.262,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Walking Figures,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Crossroads Gym,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",F45,49.264,-123.113,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Rhythm Gym,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Oxygen Yoga & Fitness,49.263,-123.117,4.0,5.0,both
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Ted Loo Fitness,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Cambie Plaza,49.265,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Marvill Fitness & Athletics,49.263,-123.11,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Pacific Ballet Theatre School,49.263,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Original Yin Qi Gong Gym,49.264,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Endorphin Junkies Personal Training,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Transfigure - Physique Transformation Svc,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Fit In 30 Minutes,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Movement Flow,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Executive Lifestyles Personal Training Studio,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vip Fitness,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Fitness World Fitness Centres,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Executive Lifestyles,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",True Coach,49.264,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vanfit,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Raincity Dance,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Temple Fitness,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Athletic Endeavours,49.264,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Yyoga West Eighth,49.264,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Lions Gate Bridge,49.26,-123.113,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Whole Foods,49.264,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Bc Liquor Store,49.264,-123.115,3.5,16.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,Joti'S Nofrills Vancouver,49.263,-123.111,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Kin'S Farm Market,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Liberty Wine Merchants,49.264,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Purdys Chocolatier,49.264,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Save-On-Foods,49.265,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Lennox Liquor Store,49.261,-123.116,3.5,11.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,The Institute Of Holistic Nutrition,49.263,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Liquor Stores-Government,49.264,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Papaya Mkt,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Naturally Splendid Enterprises Ltd,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Broadway Mini Mart,49.263,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Garlane Prescriptions,49.263,-123.113,3.5,2.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,International News,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Lancaster Medical Supplies & Prescriptions Ltd,49.264,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Drugstore Pharmacy,49.263,-123.111,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Pharmasave,49.261,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Rubenesque,49.263,-123.117,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Change Of Scandinavia,49.264,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,The Tjx Companies Inc,49.264,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Stitchworks Custom Apparel,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Safetywear.Ca,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Blankclothing.Ca,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,T-Shirt.Ca,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Label Express Clothing Co,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Vivian Fashion,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Ernesto Rassi Design,49.265,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,The North Face,49.265,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Whitet-Shirts.Ca,49.264,-123.112,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Winners & Homesense,49.264,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Book Warehouse,49.263,-123.118,4.0,38.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,Winners,49.264,-123.114,3.5,42.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,Bk Iphone Repairs,49.262,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Freedom Mobile,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Virgin Mobile,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Eb Games,49.264,-123.114,2.5,10.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,Fido Exclusive Dealer - Pepper Wireless,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Fido,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Wind Mobile | Cambie & Broadway,49.263,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Gamestop,49.264,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Telus,49.265,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,St Andrew'S Book Gift & Church Supply,49.264,-123.111,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,City Square Shopping Centre,49.261,-123.116,3.0,29.0,both
10th & Cambie,49.262487,-123.114397,35,Retail,Canadian Tire,49.265,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Sears Catalogue Pickup,49.261,-123.114,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,City Square Property Holdings,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Westwind Communications,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Book Guy,49.261,-123.116,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Hanzon Computers,49.265,-123.115,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Retail,Smart Home Systems,49.263,-123.118,,,Foursquare
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Aperture Coffee Bar,49.263,-123.11,4.0,122.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,"Under The Piano - Sound Spa For Body, Mind & Soul",49.282,-123.138,5.0,9.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,V & G Entertainment,49.261,-123.092,5.0,10.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Hidden Wonders,49.203,-122.91,5.0,12.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Jc Dance,49.263,-123.128,5.0,5.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Vj Electrabelle,49.26,-123.113,4.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Jordan'S Dude Den,49.262,-123.091,4.5,3.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Mika Phillips,49.261,-123.114,3.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Ed Sheeran,49.261,-123.114,5.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Monte Carlo Nights,49.261,-123.114,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,School Of Rock,49.26,-123.115,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Small Stage,49.264,-123.113,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Industryworks,49.265,-123.112,1.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Urban Art & Design,49.118,-122.665,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,The Phonix Band,49.261,-123.131,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Michelle Klimchuk - Harpist For Hire,49.013,-122.669,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Merlin Cosmos,49.279,-123.098,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Danny Chen Art Studio,49.134,-123.077,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Two Brothers One Mind,49.264,-123.204,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Times Past Entertainment,49.248,-122.998,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Arts & Entertainment,Sharman King Musical Services,49.263,-123.118,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Schools,Drake Medox College,49.263,-123.116,1.0,3.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Schools,Langara College Registered Massage Therapy,49.266,-123.091,4.5,2.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Schools,Dorset College,49.261,-123.116,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Schools,Mbs Group,49.26,-123.113,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Municipal,Broadway-City Hall Station,49.263,-123.114,3.5,8.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Municipal,Canadian Blood And Marrow Transplant Group,49.265,-123.117,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Municipal,Bc Cancer Agency,49.262,-123.118,5.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,Municipal,Vancouver Cancer Centre,49.262,-123.118,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",The Golden Horn Turkish Bakery & Cafe,49.26,-123.115,5.0,9.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Whole Food Market,49.264,-123.115,4.0,18.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Lumiere Cafe,49.263,-123.116,5.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Caffè Artigiano,49.264,-123.114,4.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",La Taqueria Pinche Taco Shop,49.264,-123.113,4.0,680.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Saku,49.263,-123.117,4.0,206.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Jollibee,49.263,-123.115,3.5,24.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Menya Raizo,49.263,-123.113,4.0,72.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Westcoast Poke,49.264,-123.114,4.0,171.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Yolks,49.263,-123.116,3.5,343.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Regal Mansion Cuisine Seafood Restaurant,49.261,-123.117,4.0,24.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Seaport City Seafood Restaurant,49.264,-123.115,4.5,12.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Elephant Garden Creamery,49.266,-123.069,4.5,126.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Benkei Noodle Shop,49.263,-123.117,3.5,175.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Pho Extreme Xe Lua,49.263,-123.114,2.5,101.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Caffe Cittadella,49.265,-123.117,4.0,157.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Pizzamia Gourmet Pizza Bar,49.263,-123.113,4.5,7.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Sushi Dragon,49.263,-123.118,4.0,90.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Mr Japanese Curry,49.264,-123.114,4.0,34.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",La Taqueria Food Truck,49.261,-123.114,4.5,7.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",A&W,49.263,-123.114,2.0,17.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",La Ruota,49.265,-123.115,4.0,14.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Donair Spot,49.263,-123.113,4.0,43.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Kyu Grill,49.26,-123.113,4.0,13.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Disco Cheetah,49.281,-123.132,4.0,43.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Freshslice Pizza,49.263,-123.114,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Bubble Waffle Cafe,49.261,-123.116,4.0,17.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Rolling Cashew,49.27,-123.096,4.5,19.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Kamei On Broadway,49.264,-123.118,4.0,10.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Old Country Pierogi,49.261,-123.114,3.5,7.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Cafe Tica,49.264,-123.111,4.5,15.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Kim Son Vietnamese,49.261,-123.116,3.5,11.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Red Truck Beer,49.269,-123.097,4.0,83.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Bars, Restaurants & Cafes",Sister Margaret'S,49.26,-123.113,0.0,0.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Cycle Bc Rentals,49.266,-123.103,5.0,29.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vancouver Bike Tours,49.287,-123.141,5.0,34.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Exit West Broadway,49.263,-123.111,3.5,49.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vancouver Water Adventures,49.272,-123.136,4.5,44.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Deep Cove Kayak Centre,49.326,-122.949,4.5,55.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vancouver City Hall,49.261,-123.114,3.5,25.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Hot Yoga 101,49.261,-123.116,4.0,49.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vancouver Mysteries,49.283,-123.109,4.5,15.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Chilliwack River Rafting,49.075,-121.849,5.0,20.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Vestta Whole Health Centre,49.264,-123.113,5.0,6.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Canadian Outback Rafting,49.877,-123.242,4.5,21.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Transfigure,49.264,-123.117,5.0,6.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",Universal Martial Arts,49.263,-123.115,5.0,1.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",My Trainer 365,49.264,-123.117,4.0,5.0,Yelp
10th & Cambie,49.262487,-123.114397,35,"Landmarks, Parks & Sports",We Make Dance Music,49.263,-123.113,4.0,1.0,Yelp
